Category Id,HSN/SAC ,Category,CGST,SGST,IGST
2451,5909,"Textile † † hose † †    piping † † and † † similar † †    textile tubing, † with † or †    without † lining, † armour †    or
      accessories of other materials",6%,6%,12%
2452,5910,"Transmission † or †    conveyor † belts † or †    belting, of † † † † textile † † † † material, † † † † whether † † † † or † † † †    not impregnated, † coated, † covered †    or † laminated
      with † plastics, † or †    reinforced † with † metal †    or other material",6%,6%,12%
2453,5911,"Textile † products †    and † articles, † for †    technical uses, † specified † in †    Note † 7 † to †    this † Chapter such † as †    Textile † fabrics, † felt †    and † felt-lined woven fabrics,    coated, covered or laminated with †    rubber, † leather † or †    other † material, † of † a    kind † used † † for † †    card † clothing, † † and †    similar fabrics † of † a †    kind † used † for †    other † technical purposes,    including † narrow fabrics † made †    of velvet † † † † impregnated † † † † with † † † †    rubber, † † † † for covering † † † † weaving † † † † spindles † † † † (weaving beams); Bolting cloth, whether    or Not made up; Felt for cotton textile industries, woven;Woven † † † textiles † † † felt, † † †    whether † † † or † † † not impregnated or coated, of a kind    commonly used † in † other †    machines, † Cotton † fabrics †    and articles † used † in †    machinery † and † plant, †    Jute fabrics † and † articles †    used † in † machinery †    or plant, Textile † fabrics of    metalised † yarn of a kind † commonly †    used † in † paper †    making † or other † machinery, †    Straining † cloth † of †    a † kind used in oil presses or    the like, including that of † human † hair, †    Paper † maker's † felt, †    woven, Gaskets, † washers, † polishing †    discs and † other machinery parts    of textile articles",6%,6%,12%
2454,61,"Articles    of apparel and clothing accessories, knitted or crocheted, of sale value    exceeding
      Rs. 1000 per piece",6%,6%,12%
2455,62,"Articles    of apparel and clothing accessories,
      not † † knitted † † or † †    crocheted, † † of † † sale † †    value exceeding Rs. 1000 per piece",6%,6%,12%
2456,"63    other than
      6309","Other † made †    up † textile † articles, †    sets † of sale value † exceeding †    Rs. † 1000 † per †    piece † [other than Worn clothing    and other worn articles;
      rags",6%,6%,12%
2457,64,"Footwear † † of † †    sale † † † value † † † not † † †    exceeding
      Rs.1000 per pair",6%,6%,12%
2458,6501,Textile    caps,6%,6%,12%
2459,6505,"Hats † (knitted/crocheted) † or †    made † up † from
      lace or other textile fabrics]",6%,6%,12%
2460,6601,"Umbrellas † † and † †    sun † † umbrellas † † (including walking-stick † umbrellas, †    garden † umbrellas
      and similar umbrellas)",6%,6%,12%
2461,6602,"whips, † †    riding-crops † † and † the
      like",6%,6%,12%
2462,6603,"Parts, † trimmings †    and † accessories † of articles
      of heading 6601 or 6602",6%,6%,12%
2463,6701,"Skins † and †    other † parts † of †    birds † with † their
      feathers or down, feathers, parts of feathers, down and articles thereof    (other than goods of † † heading † † 0505 † †    and † † worked † † quills † †    and
      scapes)",6%,6%,12%
2464,68,Sand    lime bricks [or Stone inlay work,6%,6%,12%
2465,6802,"Statues, † statuettes, †    pedestals; † high † or †    low reliefs, † crosses, † figures †    of † animals, † bowls, vases, † † cups, † †    cachou † † boxes, † † writing † †    sets, ashtrays, † paper † weights, †    artificial † fruit † and
      foliage, † † † etc.; † † † other † † †    ornamental † † † goods essentially    of stone Äù;]",6%,6%,12%
2466,6815,Fly ash bricks;    Fly ash aggregates; Fly ash blocks,6%,6%,12%
2467,6901    00 10,Bricks    of fossil meals or similar siliceous earths,6%,6%,12%
2468,6904    10 00,Building    bricks,6%,6%,12%
2469,6905    10 00,Earthen    or roofing tiles,6%,6%,12%
2470,6909,"Pots,    jars and similar articles of a kind used
      for the conveyance and packing of goods of ceramic",6%,6%,12%
2471,6911,"Tableware, † † kitchenware, † † other † †    household articles and
      toilet articles, of porcelain or china",6%,6%,12%
2472,6912,"Tableware, † † kitchenware, † † other † †    household articles and
      toilet † articles, † other †    than † of † porcelain †    or china",6%,6%,12%
2473,6913,Statues    and other ornamental articles,6%,6%,12%
2474,7015    10,"Glasses † for †    corrective † spectacles † and †    flint
      buttons",6%,6%,12%
2475,7020,"Globes † for †    lamps † and † lanterns, †    Founts † for
      kerosene † wick † lamps, †    Glass † chimneys † for lamps and lanterns",6%,6%,12%
2476,7310    or 7326,"Mathematical    boxes, geometry boxes and colour boxes",6%,6%,12%
2477,7317,Animal    shoe nails,6%,6%,12%
2478,7319,Sewing    needles,6%,6%,12%
2479,7321,"Kerosene † † † burners, † †    kerosene † † stoves † † and
      wood burning stoves of iron or steel",6%,6%,12%
2480,7323,"Table,    kitchen or other household articles of
      iron & steel; Utensils",6%,6%,12%
2481,7418,"Table,    kitchen or other household articles of
      copper; Utensils",6%,6%,12%
2482,7419    80 30,Brass    Kerosene Pressure Stove,6%,6%,12%
2483,7615,"Table,    kitchen or other household articles of aluminium; Utensils",6%,6%,12%
2484,8214,Pencil sharpeners,6%,6%,12%
2485,8306,"Bells, † gongs †    and † the † like, †    non-electric, † of base † metal; †    statuettes † and † other †    ornaments, of base metal; photograph, picture or similar frames, of    base metal;mirrors of base metal;
      metal bidriware Äù;",6%,6%,12%
2486,8401,"Fuel † elements †    (cartridges), † † non-irradiated,    for nuclear reactors",6%,6%,12%
2487,8408,"Fixed † Speed †    Diesel † Engines † of †    power † not
      exceeding 15HP",6%,6%,12%
2488,8414    20 20,Other    hand pumps,6%,6%,12%
2489,8419    12,Solar    water heater and system,6%,6%,12%
2490,8420,Hand    operated rubber roller,6%,6%,12%
2491,8424,Nozzles † † for † †    drip † † irrigation † equipment † †    or nozzles for sprinklers,6%,6%,12%
2492,8424,"Sprinklers; † drip †    irrigation † system † including
      laterals; mechanical sprayers",6%,6%,12%
2493,8432,"Agricultural, † † † † horticultural † † † † or † † † †    forestry machinery † † † † † for † † † † † soil † † † † † preparation † † † † † or cultivation; † † lawn †    or † † sports-ground † † rollers Parts [8432 90]",6%,6%,12%
2494,8433,"Harvesting † † † † † or † † † † †    threshing † † † † † machinery,    including † straw † or †    fodder † balers; † grass †    or hay mowers; parts thereof",6%,6%,12%
2495,8436,"Other † † agricultural, † † horticultural, † † forestry, poultry-keeping † or †    bee-keeping † machinery,    including † † † germination † † plant † † †    fitted † † † with
      mechanical † or † thermal †    equipment; † poultry incubators    and brooders",6%,6%,12%
2496,8452,"Sewing † machines, †    other † than book-sewing    machine † of † heading †    8440; † furniture, † bases and †    covers † specially † designed †    for † sewing machines; † † sewing † †    machines † † needles † † and
      parts of sewing machines",6%,6%,12%
2497,8479,Composting    Machines,6%,6%,12%
2498,"84,    85 or 94","Following † renewable †    energy † devices † and †    parts for their manufacture:-
      (a) Bio-gas plant;
      (b) Solar power based devices;
      (c) Solar power generator;
      (d) † † † Wind † † † mills, † † †    Wind † † † Operated † † † Electricity Generator (WOEG);
      (e) Waste to energy plants / devices;
      (f) Solar lantern / solar lamp;
      (g) † † † † † Ocean † † † † † waves/tidal † † † † † waves † † † † † energy devices/plants;
      (h) † † † Photo † † † voltaic † † †    cells, † † † whether † † † or † † †    not assembled in modules or made up into panels. † † † † † † † † † † † † Explanation:- If the goods    specified in this entry are supplied, by a supplier, along with supplies of    other goods and services, one of which being a taxable service specified in    the entry at S. No. 38 † of † the †    Table † mentioned † in †    the † notification No. † † 11/2017-Central † † Tax † †    (Rate), † † dated † † 28th June, †    2017 † [G.S.R. † 690(E)], †    the † value † of †    supply of goods for the purposes of this entry shall be deemed † † as † †    seventy † † per † † cent. † †    of † † the † † gross consideration charged for all such    supplies, and the † † remaining † † thirty † †    per † † cent. † † of † †    the † † gross
      consideration charged shall be deemed as value of the said taxable service.",6%,6%,12%
2499,8525    60,"Two-way † † radio † †    (Walkie † † talkie) † † used † †    by
      defence, police and paramilitary forces etc.",6%,6%,12%
2500,87,Fuel    Cell Motor Vehicles,6%,6%,12%
2501,8701,"Tractors † † (except † †    road † † tractors † † for † †    semi- trailers † of † engine †    capacity † more † than †    1800
      cc)",6%,6%,12%
2502,8710,"Tanks    and other armoured fighting vehicles,
      motorised, † † † whether † † † or † † †    not † † † fitted † † † with weapons, and parts of such vehicles",6%,6%,12%
2503,8712,"Bicycles † † † and † † †    other † † † † cycles † † † (including
      delivery tricycles), not motorised",6%,6%,12%
2504,8714,"Parts † and †    accessories † of † bicycles †    and † other
      cycles † † (including † † delivery † †    tricycles), † † not motorised, of    8712",6%,6%,12%
2505,8716    20 00,Self-loading † or † †    self-unloading † trailers † † for agricultural purposes,6%,6%,12%
2506,871680,"Hand † propelled †    vehicles † (e.g. † hand †    carts, rickshaws † † and † † the † †    like); † † animal † † drawn
      vehicles",6%,6%,12%
2507,"90    or any other
      Chapter","Blood † † † † † † glucose † † † † † † monitoring † † † † † † system
      (Glucometer) and test strips",6%,6%,12%
2508,"90    or any other
      Chapter","Patent † Ductus †    Arteriousus † / † Atrial †    Septal
      Defect occlusion device",6%,6%,12%
2509,9001,Contact    lenses; Spectacle lenses,6%,6%,12%
2510,[9003,"Frames † † † and † † †    mountings † † † for † † † spectacles,
      goggles or the like, and parts thereof",6%,6%,12%
2511,9004,"Spectacles, † corrective †    [other † than † goggles
      for correcting vision]",6%,6%,12%
2512,9018,"Instruments    and appliances used in medical, surgical, † † †    dental † † † or † † † veterinary † † † sciences, including † † † scintigraphic † † † apparatus, † † † other
      electro-medical † apparatus † and †    sight-testing instruments",6%,6%,12%
2513,9019,"Mechano-therapy † † † † † appliances; † † † † † massage apparatus; † † † psychological † † † aptitude-testing apparatus; † ozone †    therapy, † oxygen † therapy, aerosol therapy, artificial    respiration or other
      therapeutic respiration apparatus",6%,6%,12%
2514,9020,"Other † breathing †    appliances † and † gas †    masks,
      excluding † protective † masks †    having † neither mechanical parts    nor replaceable filters",6%,6%,12%
2515,9022,"Apparatus    based on the use of X-rays or of alpha, † † †    beta † † † or † † † gamma † † †    radiations, † † † for medical, † surgical, †    dental or veterinary uses, including † † † † radiography † † † † or † † † †    radiotherapy apparatus, † †    X-ray † † tubes † † and † †    other † † X-ray generators, † high †    tension † generators, † control panels † and †    desks, † screens, † examinations † or
      treatment tables, chairs and the light",6%,6%,12%
2516,9403,"Furniture † wholly †    made † of bamboo, † cane †    or
      rattan",6%,6%,12%
2517,9404,Coir    products [except coir mattresses],6%,6%,12%
2518,9404,"Products † † wholly † †    made † † of † † quilted † †    textile
      materials",6%,6%,12%
2519,9404,"Cotton † quilts †    of † sale † value †    exceeding † Rs.
      1000 per piece]",6%,6%,12%
2520,9405,"Hurricane † † † † lanterns, † † † † Kerosene † † † † lamp † † † †    /
      pressure † lantern, † petromax, †    glass † chimney, and parts    thereof",6%,6%,12%
2521,9503,"Toys    like tricycles, scooters, pedal cars etc.
      (including † † parts † † and † †    accessories † † thereof) [other    than electronic toys]",6%,6%,12%
2522,9504,"Playing    cards, chess board, carom board and other board games, like ludo, etc. [other    than
      Video game consoles and Machines]",6%,6%,12%
2523,9506,Sports † † † goods † † †    other † † † than † † † articles † † † and equipments for general physical    exercise,6%,6%,12%
2524,9507,"Fishing † rods, † †     † †and † other † line fishing † tackle; †    fish † landing † nets, †    butterfly nets † and † smilar †    nets; † decoy †  Äúbirds Äù †    (other than † those † of † † † †    heading † 9208 † or †    9705)
      and similar hunting or shooting requisites",6%,6%,12%
2525,9601,"Worked † ivory, †    bone, † tortoise † shell, †    horn, antlers, † mother † of †    pearl, † and † other †    animal carving † † † material † † † and † † †    articles † † † of † † † these
      materials, articles of coral (including articles obtained by moulding) Äù;]",6%,6%,12%
2526,9607,Slide    fasteners and parts thereof,6%,6%,12%
2527,"9608,    9609","Pencils † † (including † † propelling † † or † †    sliding pencils), crayons, pastels, drawing charcoals
      and tailor Äôs chalk",6%,6%,12%
2528,9615,"Combs, † hair-slides †    and † the † like; †    hairpins, curling † pins, † curling †    grips, † hair-curlers † and the †    like, † other † than †    those † of † heading †    8516,
      and parts thereof",6%,6%,12%
2529,"9619    00 30,
      9619 00 40, or
      9619 00 90",All    goods,6%,6%,12%
2530,9701,"Paintings, † drawings †    and † pastels, † executed entirely † by †    hand, † other † than †    drawings † of heading 4906 and    other than hand-painted or hand-decorated † † † † †    manufactured † † † † †    articles;
      collages, † † mosaics † † and † †    similar † † decorative plaques",6%,6%,12%
2531,9702,"Original    engravings, prints and lithographs",6%,6%,12%
2532,9703,"Original † † sculptures † † and † †    statuary, † † in † † any
      material",6%,6%,12%
2533,9705,"Collections † † † † and † † † †    collectors' † † † pieces † † † † of zoological, † † † † † † † botanical, † † † † † † † mineralogical, anatomical, † † † † † † historical, † † † † † † archaeological,
      paleontological, ethnographic or numismatic interest [other than numismatic    coins]",6%,6%,12%
2534,9706,"Antiques † of †    an † age † exceeding †    one † hundred
      years",6%,6%,12%
2535,9804,"Other † † Drugs † †    and † † medicines † † intended † †    for
      personal use",6%,6%,12%
2536,3406,Handcrafted    candles,6%,6%,12%
2537,"4202    22,
      4202 29,
      4202 31 10,
      4202 31 90,
      4202 32,
      4202 39",Handbags † † † † † including † † † † pouches † † † † and † † † †    purses; jewellery box,6%,6%,12%
2538,"4416,
      4421 99 90","Carved † † † wood † † †    products, † † † art † † † ware/decorative
      articles † of † wood †    (including † inlay † work, †    casks, barrel, vats)",6%,6%,12%
2539,4414,"Wooden † † † frames † † †    for † † † painting, † † † photographs, mirrors etc",6%,6%,12%
2540,4420,"Statuettes † † & †    other † † ornaments † † of † †    wood, † † wood marquetry † & †    inlaid, † jewellery † box, †    wood † lathe and † lacquer †    work † [including † lathe †    and † lacquer
      work, ambadi sisal craft]",6%,6%,12%
2541,"4503    90 90
      4504 90",Art    ware of cork [including articles of sholapith],6%,6%,12%
2542,"6117,    6214","Handmade/hand † † embroidered † † shawls † † †    of † † sale
      value exceeding Rs. 1000 per piece",6%,6%,12%
2543,6802,"Carved † stone †    products † (e.g., † statues, †    statuettes, figures † of † animals, †    writing † sets, † ashtray, †    candle
      stand)",6%,6%,12%
2544,6815    99 90,"Stone    art ware, stone inlay work",6%,6%,12%
2545,"6912    00 10
      6912 00 20","Tableware    and kitchenware of clay and terracotta,
      other clay articles",6%,6%,12%
2546,6913    90 00,"Statuettes † & †    other † ornamental † ceramic †    articles
      (incl blue potteries)",6%,6%,12%
2547,7009 92 00,Ornamental    framed mirrors,6%,6%,12%
2548,7018    90 10,Glass    statues [other than those of crystal],6%,6%,12%
2549,7020    00 90,"Glass    art ware [ incl. pots, jars, votive, cask, cake cover, tulip bottle, vase ]",6%,6%,12%
2550,7326    90 99,Art    ware of iron,6%,6%,12%
2551,7419    80,"Art † ware of brass, copper/ copper alloys,    electro plated with nickel/silver",6%,6%,12%
2552,7616    99 90,Aluminium    art ware,6%,6%,12%
2553,8306,"Bells,    gongs and like, non-electric, of base metal; statuettes, † and †    other † † ornaments, † of †    base † metal; photograph, † picture †    or † similar † frames, †    of † base metal; † † † mirrors † † † † of † † † †    base † † † † metal; † † † † (including
      Bidriware, † Panchloga † artware, †    idol, † Swamimalai bronze icons,    dhokra jaali)",6%,6%,12%
2554,9405 10,Handcrafted † lamps (including panchloga lamp),6%,6%,12%
2555,"9401    50,
      9403 80","Furniture    of bamboo, rattan and cane",6%,6%,12%
2556,9503,"Dolls † or †    other † toys † made †    of † wood † or †    metal † or
      textile † material [incl wooden toys    of sawantwadi, Channapatna toys, Thanjavur doll)",6%,6%,12%
2557,9504,Ganjifa    card,6%,6%,12%
2558,9601,"Worked † articles † †    of † † ivory, † † bone, † †    tortoise † † shell, horn, † antlers, †    coral, † † mother † of †    pearl, † † † † seashell
      other animal carving material",6%,6%,12%
2559,9602,"Worked † † vegetable † †    or † † mineral † † carving, † †    articles thereof, † †    articles † of † wax, †    of † stearin, † of †    natural
      gums or natural resins or of modelling pastes etc, (including articles of    lac, shellac)",6%,6%,12%
2560,9701,"Hand † † † paintings † † † drawings † † † and † † †    pastels † † † (incl Mysore † † painting, † †    Rajasthan † † painting, † † Tanjore
      painting, Palm leaf painting, basoli etc)",6%,6%,12%
2561,9703,"Original † sculptures †    and † statuary, † in †    metal, † stone
      or any other material",6%,6%,12%
2562,1107,"Malt,    whether or not roasted",9%,9%,18%
2563,1302,"Vegetable † † † saps † † †    and † † † extracts; † † † pectic substances, † pectinates †    and † pectates; † agar- agar †    and † other † mucilages †    and † thickeners, whether † † or † †    not † † modified, † † derived † †    from vegetable † products † other †    than † tamarind
      kernel powder",9%,9%,18%
2564,1404    90 10,Bidi    wrapper leaves (tendu),9%,9%,18%
2565,1404    90 50,Indian    katha,9%,9%,18%
2566,1517    10,"All    goods i.e. Margarine, Linoxyn",9%,9%,18%
2567,1520    00 00,"Glycerol, † † † crude; † † †    glycerol † † † waters † † † and
      glycerol lyes",9%,9%,18%
2568,1521,"Vegetable    waxes (other than triglycerides), Beeswax, † † † †    other † † † † insect † † † † waxes † † † †    and spermaceti, † † whether † † or † †    not † † refined † † or
      coloured",9%,9%,18%
2569,1522,"Degras, † † † residues † † † resulting † † † from † † †    the
      treatment † of fatty substances    or † animal or vegetable waxes",9%,9%,18%
2570,1702,"Other † sugars, †    including † chemically † pure lactose, † maltose, †    glucose † and † fructose, †    in solid † form; † sugar †    syrups † not † containing added † † flavouring † † or † †    colouring † † matter; artificial    honey, whether or not mixed with
      natural honey; caramel [other than palmyra sugar and Palmyra jaggery]",9%,9%,18%
2571,1704,"Sugar † confectionery † [other †    than † mishri, batasha, † bura, †    sakar, † khadi † sakar, †    harda, sakariya, † † † † gatta, † † † † kuliya, † † † † elaichidana, lukumdana, chikkis like    puffed rice chikki, peanut chikki, sesame chikki, til chikki, til patti, † † til † †    revdi, † † sugar † † † makhana, † †    [groundnut sweets, gajak and sugar boiled
      confectionery",9%,9%,18%
2572,1804,"Cocoa    butter, fat and oil",9%,9%,18%
2573,1805,"Cocoa    powder, not containing added sugar
      or sweetening matter",9%,9%,18%
2574,1806,"Chocolates † † and † †    other † † food † † preparations
      containing cocoa",9%,9%,18%
2575,"1901    [other than
      1901 20 00]","Malt † extract, †    food † preparations † of †    flour, groats, † meal, † starch †    or † malt † extract, †    not containing † cocoa † or †    containing † less † than 40% †    by † weight † of †    cocoa † calculated † on † a    totally † † † defatted † † † basis, † † †    not † † † elsewhere specified or    included; food preparations of goods † †    of † † heading † † 0401 † †    to † † 0404, † † not containing † cocoa †    or † containing † less †    than 5% † by † weight †    of † cocoa † calculated †    on † a
      totally † † † defatted † † † basis † † †    not † † † elsewhere specified † or †    included † [other † than †    mixes
      and † doughs † for †    the † preparation of bakers Äô    wares of heading 1905]",9%,9%,18%
2576,"1904    [other than
      1904 10 20]","All † goods †    i.e. † Corn † flakes, †    bulgar † wheat, prepared foods    obtained from cereal flakes [other than Puffed rice, commonly known as † † † Muri, † † † †    flattened † † † or † † † † beaten † † †    rice, commonly † known † as †    Chira, † parched † rice, commonly known as khoi, † parched †    paddy or † † † rice † † † coated † † †    with † † † sugar † † † or † † †    gur,
      commonly known as Murki",9%,9%,18%
2577,1905,"Pastry, † cakes, †    biscuits and † other † bakers Äô wares, † whether †    or † not † containing †    cocoa; communion † wafers, † empty †    cachets † of † a kind † † †    suitable † † † for † † † pharmaceutical † † † use, sealing † † wafers, † †    rice † † paper † † and † †    similar products[other †    than † pizza † bread, †    khakhra, plain chapatti or roti, bread, rusks, toasted
      bread and similar toasted products",9%,9%,18%
2578,"2101    11, 2101 12
      00","Extracts, † † essences † †    and † † concentrates † † of coffee, †    and † preparations † with †    a † basis † of these †    extracts, essences or concentrates or
      with a basis of coffee",9%,9%,18%
2579,2101    20,"All † † goods † †    i.e † † Extracts, † † essences † †    and concentrates † † † † of † † † † tea † † † †    or † † † † mate, † † † † and preparations with a basis of these    extracts,
      essences or concentrates or with a basis of tea or mate",9%,9%,18%
2580,2104,"Soups † † † † and † † † †    broths † † † † and † † † † preparations therefor; † † homogenised † † † composite † † † food
      preparations",9%,9%,18%
2581,2105    00 00,"Ice    cream and other edible ice, whether or
      not containing cocoa",9%,9%,18%
2582,2106,"Food † preparations † not †    elsewhere
      specified † or † included †    [other † than † roasted gram, † † † † sweetmeats, † † † † batters † † † † including idli/dosa † † † † † batter, † † † † † namkeens, † † † † † bhujia, mixture, † † † chabena † † †    and † † † similar † † † edible preparations † † in † †    ready † † for † † consumption form, † khakhra, †    chutney † powder, † diabetic
      foods",9%,9%,18%
2583,2201,"Waters, † † † including † † † natural † †    or † † † artificial mineral † waters † †    and † † aerated † † waters, † †    not containing † † † † † added † † † † † sugar † † † † † or † † † † †    other sweetening † † matter † † nor † †    flavoured † † other than † Drinking †    water † packed † in †    20 † litre
      bottles",9%,9%,18%
2584,"2202    91 00, 2202
      99 90","Other    non-alcoholic † beverages [other    than
      tender † coconut † water and †    caffeinated beverages",9%,9%,18%
2585,2207,"Ethyl    alcohol and other spirits, denatured, of any strength [other than ethyl    alcohol supplied to Oil Marketing Companies or Petroleum refineries for    blending with motor spirit (petrol)]",9%,9%,18%
2586,2209,"Vinegar † † † and † † †    substitutes † † † for † † † vinegar
      obtained from acetic acid",9%,9%,18%
2587,2404    12 00,"Products † † † † † containing † † † † † nicotine † † † † † and intended † † † † † † † for † † † † † † † inhalation † † † † † † † without
      combustion",9%,9%,18%
2588,"2404    91 00, 2404
      92 00, 2404 99 00","Products † † † † † for † † † † †    oral † † † † application † † † † † or transdermal † application †    or † for † application otherwise † † than † †    orally † † or † † transdermally, containing † nicotine †    and † intended † to †    assist
      tobacco use cessation",9%,9%,18%
2589,"2515    12 20, 2515
      12 90","Marble    and travertine, other than blocks",9%,9%,18%
2590,2516    12 00,"Granite,    other than blocks",9%,9%,18%
2591,2601,"Iron † † ores † †    and † † concentrates, † † including
      roasted iron pyrites",9%,9%,18%
2592,2602,"Manganese † † † † † ores † † † † † and † † † † †    concentrates,
      including † ferruginous manganese ores    and concentrates with a † manganese † content †    of 20% or more, calculated on the dry weight",9%,9%,18%
2593,2603,Copper    ores and concentrates,9%,9%,18%
2594,2604,Nickel    ores and concentrates,9%,9%,18%
2595,2605,Cobalt    ores and concentrates,9%,9%,18%
2596,2606,Aluminium    ores and concentrates,9%,9%,18%
2597,2607,Lead    ores and concentrates,9%,9%,18%
2598,2608,Zinc    ores and concentrates,9%,9%,18%
2599,2609,Tin    ores and concentrates,9%,9%,18%
2600,2610,Chromium    ores and concentrates,9%,9%,18%
2601,2619,"Slag, † dross †    (other † than † granulated †    slag), scalings † † † and † † † other † † †    waste † † † from † † † the
      manufacture of iron or steel",9%,9%,18%
2602,2620,"Slag,    ash and residues (other than from the manufacture † of †    iron † or † steel) †    containing
      metals, arsenic or their compounds",9%,9%,18%
2603,2621,"Other † slag †    and † ash, † including †    seaweed ash † † (kelp); † † ash † †    and † † residues † † from † †    the incineration of municipal waste [other than
      fly ash]",9%,9%,18%
2604,2706,"Tar    distilled from coal, from lignite or from peat and other mineral tars,    whether or not dehydrated or partially distilled, including reconstituted    tars",9%,9%,18%
2605,2707,"Oils † and †    other † products † of the †    distillation of † † high † † temperature † † coal † †    tar; † † similar products † † in † †    which † † the † † weight † †    of † † the aromatic † constituents † exceeds †    that † of † the non-aromatic constituents, such as    Benzole (benzene), † † † † Toluole † † † † (toluene), † † † † Xylole
      (xylenes), Naphthelene",9%,9%,18%
2606,2708,"Pitch † and †    pitch † coke, † obtained †    from † coal
      tar or from other mineral tars",9%,9%,18%
2607,2710,"Petroleum † oils †    and † oils † obtained †    from bituminous minerals, other than petroleum crude; † † † † † preparations † † † † † not † † † † †    elsewhere specified † † † or † † † included, † † † containing † † † by weight †    70% or † more † of petroleum † oils †    or of oils obtained from bituminous minerals, these † oils †    being † the † basic †    constituents † of
      the † preparations; † waste †    oils; † Avgas † [other than † † kerosene † †    PDS, † † petrol, † † diesel † †    and
      ATF, not in GST",9%,9%,18%
2608,2711,"Petroleum † † † gases † † †    and † † † other † † † gaseous hydrocarbons, † such †    as † Propane, † Butanes, Ethylene, † † † † † propylene, † † † † † butylene † † † † † and butadiene † [Other †    than † Liquefied † Propane and †    Butane † mixture, † Liquefied †    Propane, Liquefied Butane and Liquefied Petroleum Gases † † (LPG) † †    for † † supply † † to † †    household domestic †    consumers † or † to †    non-domestic exempted † category    (NDEC) † customers † by the † † †    Indian † † † Oil † † † Corporation † † † Limited, Hindustan † petroleum Corporation † Limited
      or Bharat Petroleum Corporation Limited]",9%,9%,18%
2609,2712,"Petroleum † † jelly; † †    paraffin † † wax, † † † micro- crystalline † † petroleum † †    wax, † † slack † † wax, ozokerite, † † lignite † †    wax, † † peat † † wax, † †    other mineral † † † waxes, † † † and † † †    similar † † † products    obtained † † † by † † † synthesis † † † or † † †    by † † † other
      processes, whether or not coloured",9%,9%,18%
2610,2713,"Petroleum † coke, †    petroleum † bitumen † and
      other † residues of petroleum oils or    of oils obtained from bituminous minerals",9%,9%,18%
2611,2714,"Bitumen † and †    asphalt, † natural; † bituminous or oil † shale †    and † tar † sands; †    asphaltites † and
      asphaltic rocks",9%,9%,18%
2612,2715,"Bituminous † † mixtures † †    based † † on † † natural asphalt, † on natural bitumen, † on petroleum bitumen, † on †    mineral † tar † or on †    mineral tar
      pitch † (for † † example, † †    bituminous † † mastics, cut-backs)",9%,9%,18%
2613,28,"All † inorganic †    chemicals † [other † than †    those specified † in † the †    Schedule † for † exempted goods † or †    other † Rate † Schedules †    for † goods
      including † † † Fertilizer † † † grade † † †    Phosphoric acid",9%,9%,18%
2614,29,All    organic chemicals other than giberellic acid,9%,9%,18%
2615,3102,"Mineral † † † † † † or † † † † † † † chemical † † † † † † † fertilisers,
      nitrogenous, † † † † † †  †which † † are clearly not to be used as fertilizers",9%,9%,18%
2616,3103,"Mineral    or chemical fertilisers, phosphatic,
      which † † are † † clearly † †    not † † to † † be † †    used † † as fertilizers",9%,9%,18%
2617,3104,"Mineral † or †    chemical † fertilisers, † potassic, which † † are † †    clearly † † not † † to † †    be † † used † † as
      fertilizers",9%,9%,18%
2618,3105,"Mineral † or †    chemical † fertilisers † containing two † or †    three † of † the †    fertilising † elements nitrogen,    phosphorus and potassium; other fertilisers; goods of this Chapter in tablets    or similar forms or in packages of a gross
      weight † not † exceeding †    10 † kg, † which †    are clearly not to be used as fertilizers",9%,9%,18%
2619,3201,"Tanning † † † extracts † †    of † † vegetable † † † origin; tannins † and †    their † salts, † ethers, †    esters † and other † † † derivatives † † † (other † † †    than † † † Wattle extract, † † † † quebracho † † † † extract, † † † † chestnut
      extract)",9%,9%,18%
2620,3202,"Synthetic † † † organic † † †    tanning † † † substances;    inorganic † † † tanning † † † substances; † † † tanning preparations, † † whether † †    or † † not † † containing
      natural † † tanning † † substances † † (other † †    than Enzymatic preparations for pre-tanning)",9%,9%,18%
2621,3203,"Colouring † matter †    of † vegetable † or †    animal origin † † † (including † † † dyeing † † †    extracts † † † but excluding † animal †    black), † whether † or †    not chemically † † † † defined; † † † † preparations † † † † as specified † in †    Note † 3 † to †    this † Chapter † based on colouring matter of vegetable or    animal
      origin",9%,9%,18%
2622,3204,"Synthetic † † † † organic † † † † colouring † † † † matter, whether † † † or † † †    not † † † chemically † † † defined; preparations as specified † in Note 3 to this Chapter † † † based † † †    on † † † synthetic † † † organic colouring † † † † † matter; † † † † synthetic † † † † organic products † of †    a † kind † used †    as † † fluorescent    brightening † † agents † † or † †    as † † luminophores,
      whether or not chemically defined",9%,9%,18%
2623,3205,"Colour † lakes; †    preparations † as † specified †    in Note † 3 † to †    this † Chapter † based †    on † colour
      lakes",9%,9%,18%
2624,3206,"Other † † colouring † †    matter; † † preparations † † as
      specified † in † Note †    3 † to † this †    Chapter, † other than † † those † †    of † † heading † † 32.03, † †    32.04 † or 32.05; inorganic    products of a kind used as luminophores, †    whether † or † not †    chemically
      defined",9%,9%,18%
2625,3207,"Prepared † pigments, †    prepared † opacifiers,    prepared † † † colours, † † † vitrifiable † † † enamels, glazes, † engobes †    (slips), † liquid † lustres, †    and other similar preparations of a kind used in ceramic, † † enamelling † † or † †    glass † † industry;
      glass † frit † or †    other † glass, † in †    the † form † of powder, granules or flakes",9%,9%,18%
